composite_key,description
71122.0_nan,True
71129.0_nan,True
71200.0_nan,True
72110.0_nan,True
72190.0_nan,True
72200.0_nan,True
73110.0_nan,True
73120.0_nan,True
73200.0_nan,True
74100.0_nan,True
74201.0_nan,True
74202.0_nan,True
74203.0_nan,True
74209.0_nan,True
74300.0_nan,True
74901.0_nan,True
74902.0_nan,True
74909.0_nan,True
74990.0_nan,True
75000.0_nan,True
77110.0_nan,True
77120.0_nan,True
77210.0_nan,True
77220.0_nan,True
77291.0_nan,True
77299.0_nan,True
77310.0_nan,True
77320.0_nan,True
77330.0_nan,True
77341.0_nan,True
77342.0_nan,True
77351.0_nan,True
77352.0_nan,True
77390.0_nan,True
77400.0_nan,True
78101.0_nan,True
78109.0_nan,True
78200.0_nan,True
78300.0_nan,True
79110.0_nan,True
79120.0_nan,True
79901.0_nan,True
79909.0_nan,True
80100.0_nan,True
80200.0_nan,True
80300.0_nan,True
81100.0_nan,True
81210.0_nan,True
81221.0_nan,True
81222.0_nan,True
81223.0_nan,True
81229.0_nan,True
81291.0_nan,True
81299.0_nan,True
81300.0_nan,True
82110.0_nan,True
82190.0_nan,True
82200.0_nan,True
82301.0_nan,True
82302.0_nan,True
82911.0_nan,True
82912.0_nan,True
82920.0_nan,True
82990.0_nan,True
84110.0_nan,True
84120.0_nan,True
84130.0_nan,True
84210.0_nan,True
84220.0_nan,True
84230.0_nan,True
84240.0_nan,True
84250.0_nan,True
84300.0_nan,True
85100.0_nan,True
85200.0_nan,True
85310.0_nan,True
85320.0_nan,True
85410.0_nan,True
85421.0_nan,True
85422.0_nan,True
85510.0_nan,True
85520.0_nan,True
85530.0_nan,True
85590.0_nan,True
85600.0_nan,True
86101.0_nan,True
86102.0_nan,True
86210.0_nan,True
86220.0_nan,True
86230.0_nan,True
86900.0_nan,True
87100.0_nan,True
87200.0_nan,True
87300.0_nan,True
87900.0_nan,True
88100.0_nan,True
88910.0_nan,True
88990.0_nan,True
90010.0_nan,True
90020.0_nan,True
90030.0_nan,True
90040.0_nan,True
91011.0_nan,True
91012.0_nan,True
91020.0_nan,True
91030.0_nan,True
91040.0_nan,True
92000.0_nan,True
93110.0_nan,True
93120.0_nan,True
93130.0_nan,True
93191.0_nan,True
93199.0_nan,True
93210.0_nan,True
93290.0_nan,True
94110.0_nan,True
94120.0_nan,True
94200.0_nan,True
94910.0_nan,True
94920.0_nan,True
94990.0_nan,True
95110.0_nan,True
95120.0_nan,True
95210.0_nan,True
95220.0_nan,True
95230.0_nan,True
95240.0_nan,True
95250.0_nan,True
95290.0_nan,True
96010.0_nan,True
96020.0_nan,True
96030.0_nan,True
96040.0_nan,True
96090.0_nan,True
97000.0_nan,True
98000.0_nan,True
98100.0_nan,True
98200.0_nan,True
99000.0_nan,True
99999.0_nan,True
